"mkt","measure","Value"
"BEARING - TREATED","PCT OF AREA BEARING",66
"BEARING - TREATED","PCT OF AREA BEARING",27
"BEARING - TREATED","PCT OF AREA BEARING",33
"BEARING - TREATED","PCT OF AREA BEARING",93
"BEARING - TREATED","PCT OF AREA BEARING",59
"BEARING - TREATED","PCT OF AREA BEARING",41
"BEARING - TREATED","PCT OF AREA BEARING",71
"BEARING - APPLICATIONS","LB",100
"BEARING - APPLICATIONS","LB",144000
"BEARING - APPLICATIONS","LB",9700
"BEARING - APPLICATIONS","LB",6100
"BEARING - APPLICATIONS","LB",112100
"BEARING - APPLICATIONS","LB",302700
"BEARING - APPLICATIONS","LB",9900
"BEARING - APPLICATIONS","LB",500
"BEARING - APPLICATIONS","LB",400
"BEARING - APPLICATIONS","LB",1500
"BEARING - APPLICATIONS","LB",12300
"BEARING - APPLICATIONS","LB",5100
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.151
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.012
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.244
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.152
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.156
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.031
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.144
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.054
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.058
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.214
"BEARING - APPLICATIONS","LB / ACRE / YEAR",10.509
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.756
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.47
"BEARING - APPLICATIONS","LB / ACRE / YEAR",12.456
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.033
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.179
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.136
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.06
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.18
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.064
"BEARING - APPLICATIONS","NUMBER",5.8
"BEARING - TREATED","PCT OF AREA BEARING",3
"BEARING - TREATED","PCT OF AREA BEARING",96
"BEARING - TREATED","PCT OF AREA BEARING",91
"BEARING - TREATED","PCT OF AREA BEARING",63
"BEARING - TREATED","PCT OF AREA BEARING",100
"BEARING - TREATED","PCT OF AREA BEARING",14
"BEARING - TREATED","PCT OF AREA BEARING",20
"BEARING - TREATED","PCT OF AREA BEARING",6
"BEARING - TREATED","PCT OF AREA BEARING",42
"BEARING - TREATED","PCT OF AREA BEARING",65
"BEARING - TREATED","PCT OF AREA BEARING",22
"BEARING - APPLICATIONS","LB",1900
"BEARING - APPLICATIONS","LB",2100
"BEARING - APPLICATIONS","LB",253600
"BEARING - APPLICATIONS","LB",11300
"BEARING - APPLICATIONS","LB",16700
"BEARING - APPLICATIONS","LB",7500
"BEARING - APPLICATIONS","LB",1800
"BEARING - APPLICATIONS","LB",2400
"BEARING - APPLICATIONS","LB",4100
"BEARING - APPLICATIONS","LB",3400
"BEARING - APPLICATIONS","LB",1200
"BEARING - APPLICATIONS","LB",591200
"BEARING - APPLICATIONS","LB",800
"BEARING - APPLICATIONS","LB",9400
"BEARING - APPLICATIONS","LB",96300
"BEARING - APPLICATIONS","LB",1056400
"BEARING - APPLICATIONS","LB",6300
"BEARING - APPLICATIONS","LB",16900
"BEARING - APPLICATIONS","LB",200
"BEARING - APPLICATIONS","LB",7400
"BEARING - APPLICATIONS","LB",600
"BEARING - APPLICATIONS","LB",1100
"BEARING - APPLICATIONS","LB",5500
"BEARING - APPLICATIONS","LB",2500
"BEARING - APPLICATIONS","LB",2600
"BEARING - APPLICATIONS","LB",29100
"BEARING - APPLICATIONS","LB",2900
"BEARING - APPLICATIONS","LB",5800
"BEARING - APPLICATIONS","LB",2200
"BEARING - APPLICATIONS","LB",700
"BEARING - APPLICATIONS","LB",116700
"BEARING - APPLICATIONS","LB",5692600
"BEARING - APPLICATIONS","LB",848600
"BEARING - APPLICATIONS","LB",1040400
"BEARING - APPLICATIONS","LB",3000
"BEARING - APPLICATIONS","LB",7602900
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.237
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.017
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.372
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.662
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.023
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.333
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.627
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.222
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.125
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.174
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.483
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.279
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.098
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.152
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.113
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.179
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.711
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",3.779
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.038
